LastUpdated: 31/12/2025,,"Names of forest reserves in gazettes and maps (""0"" if not found)",,,,,Notes on changes made to reserve names in maps of Dept Forestry 2022 and Dept Env 2012,
193,Kelantan,Gunong Basor,Gunong Basor,Gunong Basor,Gunong Basor,0,Reserve name changed from Gunung Basor to Gunong Basor to match gazette,Reserve name changed from Gunung Basur to Gunong Basor to match DeptForestry map
194,Kelantan,Gunong Chamah,Gunong Chamah,0,0,0,,
195,Kelantan,Gunong Stong,Gunong Stong,0,0,0,,
196,Kelantan,Gunong Stong Selatan,Gunong Stong Selatan,Gunong Stong Selatan,Gunong Stong Selatan,0,Reserve name changed from Gunung Stong Selatan to Gunong Stong Selatan to match gazette,Reserve name changed from Gunung Stong Selatan to Gunong Stong Selatan to match DeptForestry map
197,Kelantan,Gunong Stong Tengah,Gunong Stong Tengah,Gunong Stong Tengah,Gunong Stong Tengah,0,Reserve name changed from Gunung Stong Tengah to Gunong Stong Tengah to match gazette,Reserve name changed from Gunung Stong Tengah to Gunong Stong Tengah to match DeptForestry map
199,Pahang,Gunung Aais,0,Gunung Aais,Gunung Aais,0,,
200,Pahang,Gunung Aais Tambahan,Gunung Aais Tambahan,Gunung Aais Tambahan,Gunung Aais Tambahan,0,Reserve name changed from Gunung Aais (Tambahan) to Gunung Aais Tambahan to match gazette,
201,Johor,Gunung Arong,Gunung Arong,Gunung Arong,Gunung Arong,0,,Reserve name changed from Gunong Arong to Gunung Arong to match DeptForestry map
202,Johor,Gunung Arong Tadahan Air,0,Gunung Arong Tadahan Air,Gunung Arong Tadahan Air,0,Reserve name changed from Gunung Arong ( Tadahan Air ) to Gunung Arong Tadahan Air to match gazette,Reserve name changed from Gunung Arong (Tadahan Air) to Gunung Arong Tadahan Air to match DeptForestry map
203,Johor,Gunung Arong Tambahan ,Gunung Arong Tambahan ,0,0,0,,
204,Johor,Gunung Arong Tambahan 2,0,Gunung Arong Tambahan 2,Gunung Arong Tambahan 2,0,,Reserve name changed from Gunung Arong Tamb 2 to Gunung Arong Tambahan 2 to match DeptForestry map
205,Johor,Gunung Arong Tambahan A,Gunung Arong Tambahan A,0,0,0,,
206,Johor,Gunung Arong Tambahan B,Gunung Arong Tambahan B,0,0,0,,
207,Kelantan,Gunung Basor Tambahan,0,Gunung Basor Tambahan,Gunung Basor Tambahan,0,,Reserve name changed from Gunong Basur Tambahan to Gunung Basor Tambahan to match DeptForestry map
208,Pahang,Gunung Benom,0,Gunung Benom,Gunung Benom,0,,
209,Pahang,Gunung Benum Tambahan,Gunung Benum Tambahan,0,0,0,,
210,Perak,Gunung Besout,Gunung Besout,Gunung Besout,Gunung Besout,0,,
211,Kedah,Gunung Bongsu,0,Gunung Bongsu,Gunung Bongsu,0,,
212,Perak,Gunung Gajah,Gunung Gajah,0,0,0,,
213,Kedah,Gunung Inas,Gunung Inas,Gunung Inas,Gunung Inas,0,,
214,Kedah,Gunung Jerai,Gunung Jerai,Gunung Jerai,Gunung Jerai,0,,
215,Perak,Gunung Lang,0,Gunung Lang,Gunung Lang,0,,
216,Johor,Gunung Ledang,Gunung Ledang,Gunung Ledang,Gunung Ledang,0,,Reserve name changed from Gunong Ledang to Gunung Ledang to match DeptForestry map
217,Pahang,Gunung Lesong,0,Gunung Lesong,Gunung Lesong,0,,Reserve name changed from Lesong Tambahan Rompin to Gunung Lesong to match DeptForestry map after checking location
218,Kedah,Gunung Machinchang,0,Gunung Machinchang,Gunung Machinchang,0,,
219,Johor,Gunung Pulai,Gunung Pulai,Gunung Pulai,Gunung Pulai,0,,Reserve name changed from Gunong Pulai to Gunung Pulai to match DeptForestry map
220,Kelantan,Gunung Rabong,0,Gunung Rabong,Gunung Rabong,0,,
221,Perak,Gunung Rapat,Gunung Rapat,0,0,0,,
222,Kedah,Gunung Raya,Gunung Raya,Gunung Raya,Gunung Raya,0,,
223,Perak,Gunung Semanggol,0,Gunung Semanggol,Gunung Semanggol,0,,
224,Pahang,Gunung Siku,0,Gunung Siku,Gunung Siku,0,,
225,Pahang,Gunung Siku A,0,Gunung Siku A,0,0,,
226,Pahang,Gunung Siku B,0,Gunung Siku B,0,0,,
227,Pahang,Gunung Siku Tambahan,0,Gunung Siku Tambahan,0,0,Reserve name changed from Gunung Siku (Tambahan) to Gunung Siku Tambahan to match gazette,
228,Kelantan,Gunung Stong Utara,0,Gunung Stong Utara,Gunung Stong Utara,0,,
229,Terengganu,Gunung Tebu,Gunung Tebu,Gunung Tebu,Gunung Tebu,0,,
230,Kedah,Gunung Ternas,Gunung Ternas,0,0,0,,
231,Perak,Gunung Tunggal,0,Gunung Tunggal,Gunung Tunggal,0,,
232,Pulau Pinang,Highland,0,Highland,Highland,0,,
233,Terengganu,Hulu Besut,0,Hulu Besut,Hulu Besut,0,,
234,Pahang,Hulu Dong,Hulu Dong,Hulu Dong,Hulu Dong,0,Reserve name changed from Ulu Dong to Hulu Dong to match gazette,Reserve name changed from Ulu Dong to Hulu Dong to match gazette
235,Perak,Hulu Ijok,Hulu Ijok,0,0,0,,
236,Selangor,Hulu Langat,0,Hulu Langat,Hulu Langat,0,,
237,Pahang,Hulu Lemoi,0,Hulu Lemoi,Hulu Lemoi,0,,
238,Pahang,Hulu Lemoi Tambahan,0,Hulu Lemoi Tambahan,Hulu Lemoi Tambahan,0,,Reserve name changed from Hulu Lemoi (Tambahan) to Hulu Lemoi Tambahan to match DeptForestry map
239,Terengganu,Hulu Nerus,Hulu Nerus,Hulu Nerus,Hulu Nerus,0,,
240,Selangor,Hulu Selangor,0,Hulu Selangor,Hulu Selangor,0,,
241,Terengganu,Hulu Setiu,Hulu Setiu,Hulu Setiu,Hulu Setiu,0,,
242,Pahang,Hulu Sungai Atok,0,Hulu Sungai Atok,0,0,,
243,Terengganu,Hulu Telemung,Hulu Telemung,Hulu Telemung,Hulu Telemung,0,Reserve name changed from Hulu Telemong to Hulu Telemung to match gazette,Reserve name changed from Hulu Telemong to Hulu Telemung to match DeptForestry map
244,Terengganu,Hulu Terengganu,Hulu Terengganu,Hulu Terengganu,Hulu Terengganu,0,,
245,Terengganu,Hulu Terengganu Tambahan,0,Hulu Terengganu Tambahan,Hulu Terengganu Tambahan,0,Reserve name changed from Hulu Terengganu (Tambahan) to Hulu Terengganu Tambahan to match gazette,Reserve name changed from Hulu Terengganu (Tambahan) to Hulu Terengganu Tambahan to match DeptForestry map
246,Pahang,Hulu Tranum,0,Hulu Tranum,0,0,,
247,Pahang,Ibam Tambahan,Ibam Tambahan,0,0,0,,
248,Perak,Ijok,Ijok,Ijok,Ijok,0,,
249,Terengganu,Jabur,0,Jabur,Jabur,0,,
250,Terengganu,Jambu Bongkok,0,Jambu Bongkok,Jambu Bongkok,0,,
251,Perak,Jebong,Jebong,Jebong,Jebong,0,,
252,Kelantan,Jedok,Jedok,Jedok,Jedok,0,,
253,Negeri Sembilan,Jelai-Gemas,Jelai-Gemas,0,0,0,,
254,Kelantan,Jeli,0,Jeli,Jeli,0,,
255,Johor,Jemaluang,Jemaluang,0,Jemaluang,0,,
256,Johor,Jemaluang Tambahan,0,Jemaluang Tambahan,0,0,,
257,Johor,Jementah,Jementah,Jementah,Jementah,0,,
258,Johor,Jementah Tambahan,Jementah Tambahan,Jementah Tambahan,0,0,,
259,Terengganu,Jengai,Jengai,Jengai,Jengai,0,,
260,Pahang,Jengka,Jengka,Jengka,Jengka,0,,
261,Kelantan,Jentiang,Jentiang,Jentiang,Jentiang,0,,
262,Negeri Sembilan,Jeram Padang Selatan,Jeram Padang Selatan,0,0,0,,
263,Negeri Sembilan,Jeram Padang Utara,Jeram Padang Utara,0,0,0,,
264,Terengganu,Jerangau,Jerangau,Jerangau,Jerangau,0,,
265,Pahang,Jerantut,Jerantut,Jerantut,Jerantut,0,,
266,Pahang,Jerantut Tambahan,Jerantut Tambahan,Jerantut Tambahan,Jerantut Tambahan,0,Reserve name changed from Jerantut (Tambahan) to Jerantut Tambahan to match gazette,Reserve name changed from Jerantut (Tambahan) to Jerantut Tambahan to match DeptForestry map
267,Kedah,Jerlun,Jerlun,0,0,0,,
268,Negeri Sembilan,Johol,Johol,Johol,Johol,0,,
269,Selangor,Jugra Kompok I,Jugra Kompok I,Jugra Kompok I,Jugra Kompok I,0,Reserve name changed from Jugra Kompok 1 to Jugra Kompok I to match gazette,Reserve name changed from Jugra 1 to Jugra Kompok I to match DeptForestry map
270,Selangor,Jugra Kompok II,Jugra Kompok II,Jugra Kompok II,Jugra Kompok II,0,Reserve name changed from Jugra Kompok 2 to Jugra Kompok II to match gazette,Reserve name changed from Jugra 2 to Jugra Kompok II to match DeptForestry map
271,Pulau Pinang,Juru,Juru,0,0,0,,
272,Perak,Kampar,Kampar,Kampar,Kampar,0,,
273,Perak,Kampong Gajah,0,Kampong Gajah,Kampong Gajah,0,,
274,Selangor,Kanching,Kanching,Kanching,Kanching,0,,
275,Selangor,Kapar,0,Kapar,Kapar,0,,
276,Selangor,Kapar Tambahan,0,Kapar Tambahan,Kapar Tambahan,0,,
277,Pahang,Kawasan Pemuliharaan Tasek Bera,Kawasan Pemuliharaan Tasek Bera,Kawasan Pemuliharaan Tasek Bera,Kawasan Pemuliharaan Tasek Bera,0,,Reserve name changed from Tasik Bera to Kawasan Pemuliharaan Tasek Bera to match DeptForestry map
278,Pahang,Kechau,0,Kechau,Kechau,0,,
279,Pahang,Kedondong,0,Kedondong,Kedondong,0,,
280,Pahang,Kelau,Kelau,Kelau,Kelau,0,,
281,Perak,Kelip-Kelip,Kelip-Kelip,Kelip-Kelip,0,0,Reserve name changed from Kelip kelip to Kelip-Kelip to match gazette,
282,Pahang,Kemasul,Kemasul,Kemasul,Kemasul,0,"Merged Kemasul (Bentong), Kemasul (Temerloh) into Kemasul. Reserve name changed from Kemasul (Bentong) to Kemasul to match gazette","Merged Kemasul (Bentong), Kemasul (Temerloh) into Kemasul to match DeptForestry map after checking locations"
283,Pahang,Kemasul Tambahan,Kemasul Tambahan,Kemasul Tambahan,Kemasul Tambahan,0,"Merged Kemasul Tambahan (Bentong), Kemasul Tambahan (Temerloh) into Kemasul Tambahan. Reserve name changed from Kemasul Tambahan (Bentong) to Kemasul Tambahan to match gazette","Merged Kemasul Tambahan (Bentong), Kemasul Tambahan (Temerloh) into Kemasul Tambahan to match DeptForestry map after checking locations"
284,Melaka,Kemuning,0,Kemuning,0,0,,
285,Negeri Sembilan,Kenaboi,Kenaboi,Kenaboi,Kenaboi,0,,"Merged Kenaboi Barat, Kenaboi Timur into Kenaboi to match DeptForestry map after checking locations"
286,Perak,Kenderong,Kenderong,Kenderong,Kenderong,0,,
287,Pahang,Kerambit,Kerambit,Kerambit,Kerambit,0,,
288,Pahang,Kertam,0,Kertam,Kertam,0,,
289,Perak,Kinta Tambahan,Kinta Tambahan,0,0,0,,
290,Kedah,Kisap,0,Kisap,Kisap,0,,
291,Pahang,Klau,Klau,Klau,Klau,0,Reserve name changed from Klau /Raka (Tambahan) to Klau to match gazette,
292,Pahang,Klau Tambahan,Klau Tambahan,Klau Tambahan,Klau Tambahan,0,Reserve name changed from Klau/Raka to Klau Tambahan to match gazette,
293,Perak,Kledang Saiong,Kledang Saiong,Kledang Saiong,Kledang Saiong,0,"Merged Kledang Saiong (Kinta/Manjung), Kledang Saiong (Kinta Mangjung), Kledang Saiong (Kuala Kangsar) into Kledang Saiong. Reserve name changed from Kledang Saiong (Kinta Mangjung) to Kledang Saiong to match gazette","Merged Kledang Saiong (Kinta Manjung), Kledang Saiong (Kuala Kangsar) into Kledang Saiong to match DeptForestry map after checking locations"
294,Johor,Kluang,Kluang,Kluang,Kluang,0,,
295,Johor,Kluang Tambahan,Kluang Tambahan,0,0,Kluang Tambahan,,
296,Kedah,Koh Moi,Koh Moi,Koh Moi,Koh Moi,0,,
297,Perak,Korbu,Korbu,Korbu,Korbu,0,,
298,Selangor,Kota Damansara,Kota Damansara,Kota Damansara,Kota Damansara,0,,
299,Perak,Kota Siam,0,Kota Siam,Kota Siam,0,,
300,Pahang,Krau,0,Krau,Krau,0,,
301,Pahang,Krau Tambahan,0,Krau Tambahan,0,0,Reserve name changed from Krau (Tambahan) to Krau Tambahan to match gazette,
302,Kedah,Kuah,0,Kuah,Kuah,0,,
303,Perak,Kuala Bagan Tiang,Kuala Bagan Tiang,0,0,0,,
304,Pulau Pinang,Kuala Bekah,Kuala Bekah,0,0,0,,
305,Selangor,Kuala Bernam,0,Kuala Bernam,Kuala Bernam,0,,
306,Terengganu,Kuala Kemaman,0,Kuala Kemaman,Kuala Kemaman,0,,
307,Selangor,Kuala Langat Selatan,Kuala Langat Selatan,Kuala Langat Selatan,Kuala Langat Selatan,0,,
308,Selangor,Kuala Langat Selatan Tambahan,0,Kuala Langat Selatan Tambahan,Kuala Langat Selatan Tambahan,0,,
309,Selangor,Kuala Langat Utara,Kuala Langat Utara,Kuala Langat Utara,Kuala Langat Utara,0,,
310,Melaka,Kuala Linggi,0,Kuala Linggi,0,0,,
311,Terengganu,Kuala Paka,0,Kuala Paka,Kuala Paka,0,,
312,Johor,Kuala Sedili,0,Kuala Sedili,Kuala Sedili,0,,
313,Selangor,Kuala Sepang,0,Kuala Sepang,Kuala Sepang,0,,
314,Pahang,Kuantan Paya Laut,0,Kuantan Paya Laut,Kuantan Paya Laut,0,,
315,Kedah,Kubang Badak,0,Kubang Badak,Kubang Badak,0,,
316,Kelantan,Kubang Nibong,Kubang Nibong,0,0,0,,
317,Perlis,Kurong Batang,0,Kurong Batang,Kurong Batang,0,,
318,Johor,Labis,Labis,Labis,Labis,0,,Reserve name changed from Labis Utara to Labis to match DeptForestry map after checking locations
319,Johor,Labis Tambahan,Labis Tambahan,Labis Tambahan,Labis Tambahan,0,,
320,Johor,Labis Tengah,0,Labis Tengah,Labis Tengah,0,,
321,Johor,Labis Timur,0,Labis Timur,Labis Timur,0,,
322,Pulau Pinang,Lahar Endin,Lahar Endin,0,0,0,,
323,Pulau Pinang,Laksamana,0,Laksamana,Laksamana,0,,
324,Pahang,Lakum,0,Lakum,Lakum,0,Reserve name changed from Lakum (Temerloh) to Lakum to match gazette,Reserve name changed from Lakum Temerloh to Lakum to match DeptForestry map
325,Pahang,Lakum Tambahan,Lakum Tambahan,Lakum Tambahan,Lakum Tambahan,0,Reserve name changed from Lakum Tambahan (Bentong) to Lakum Tambahan to match gazette,Reserve name changed from Lakum (Tambahan) to Lakum Tambahan to match DeptForestry map
326,Pahang,Lata Jarum,Lata Jarum,0,0,0,,
327,Kelantan,Lebir,Lebir,Lebir,Lebir,0,,
328,Perak,Lekir,Lekir,Lekir,0,0,,
329,Negeri Sembilan,Lenggeng,0,Lenggeng,Lenggeng,0,,
330,Johor,Lenggor,0,Lenggor,Lenggor,0,,"Merged Lenggor Tengah, Lenggor Timur into Lenggor to match DeptForestry map after checking locations"
331,Pahang,Lentang,Lentang,Lentang,Lentang,0,,DOE's Lentang includes the Lentang Tambahan of DeptForestry map too
332,Pahang,Lentang Tambahan,Lentang Tambahan,Lentang Tambahan,0,0,,
333,Perak,Lepang Nenering,Lepang Nenering,Lepang Nenering,Lepang Nenering,0,,
334,Pahang,Lepar,Lepar,Lepar,Lepar,0,,DOE's Lepar includes the Lepar Tambahan of DeptForestry map too
335,Pahang,Lepar Tambahan,Lepar Tambahan,Lepar Tambahan,0,0,Reserve name changed from Lepar ( Tambahan ) to Lepar Tambahan to match gazette,
336,Pahang,Lesong,Lesong,Lesong,Lesong,0,,"DOE's Lesong includes parts of Sg Pukin Tambahan, Sungai Pukin, Taman Negeri Endau in the DeptForestry map"
337,Pahang,Lesung Tambahan,Lesung Tambahan,0,0,0,,
338,Kelantan,Limau Kasturi,0,0,Limau Kasturi,0,,
339,Melaka,Linggi,0,Linggi,Linggi,0,,
340,Melaka,Linggi Tambahan,0,Linggi Tambahan,0,0,Reserve name changed from Linggi (Tambahan) to Linggi Tambahan to match gazette,
341,Kelantan,Lojing,Lojing,Lojing,Lojing,0,,
342,Negeri Sembilan,Lukut,Lukut,0,0,0,,
343,Perak,Lumut,Lumut,Lumut,Lumut,0,,
344,Johor,Maokil,Maokil,Maokil,Maokil,0,,
345,Johor,Maokil Tambahan,Maokil Tambahan,0,0,0,,
346,Perlis,Mata Ayer,Mata Ayer,Mata Ayer,Mata Ayer,0,,
347,Selangor,Melawati,Melawati,0,0,Melawati,,
348,Pahang,Menchali,Menchali,Menchali,Menchali,0,,
349,Pahang,Mensum,Mensum,Mensum,0,0,Reserve name changed from Mensun to Mensum to match gazette,
350,Pahang,Mentigi,0,Mentigi,Mentigi,0,,
351,Pahang,Mentigi Tambahan,0,Mentigi Tambahan,Mentigi Tambahan,0,,Reserve name changed from Mentigi (Tambahan) to Mentigi Tambahan to match DeptForestry map
352,Kedah,Merbok,0,Merbok,Merbok,0,,
353,Kedah,Merbok Tambahan,Merbok Tambahan,0,0,0,,
354,Terengganu,Merchang,Merchang,Merchang,Merchang,0,Reserve name changed from Mercang to Merchang to match gazette,Reserve name changed from Mercang to Merchang to match DeptForestry map
355,Johor,Mergastua Endau Kota Tinggi,Mergastua Endau Kota Tinggi,0,0,0,,
356,Melaka,Merlimau,0,Merlimau,Merlimau,0,,
357,Johor,Mersing,Mersing,Mersing,Mersing,0,,
358,Johor,Mersing Tambahan,Mersing Tambahan,0,0,Mersing Tambahan,,
359,Pahang,Nenasi,0,Nenasi,Nenasi,0,,"Merged Nenasi, Nenasi Tambahan 2 into Nenasi to match DeptForestry map after checking locations"
360,Pahang,Nenasi Tambahan,Nenasi Tambahan,Nenasi Tambahan,Nenasi Tambahan,0,,Reserve name changed from Pekan Tambahan 1 to Nenasi Tambahan to match DeptForestry map
361,Kelantan,Nenggiri,0,Nenggiri,Nenggiri,0,,
362,Perak,Padang Chong,Padang Chong,Padang Chong,Padang Chong,0,,
363,Kedah,Padang Terap,0,Padang Terap,Padang Terap,0,,
364,Terengganu,Pak Kancil,0,Pak Kancil,Pak Kancil,0,,
365,Perak,Palong Tinggi,0,Palong Tinggi,Palong Tinggi,0,,
366,Perak,Pangkor Selatan,Pangkor Selatan,Pangkor Selatan,Pangkor Selatan,0,,
367,Perak,Pangkor Utara,Pangkor Utara,Pangkor Utara,Pangkor Utara,0,,
653,Johor,Pantai,0,0,0,Pantai,,
368,Negeri Sembilan,Pantai,Pantai,Pantai,Pantai,0,,
369,Pulau Pinang,Pantai Acheh,Pantai Acheh,Pantai Acheh,Pantai Acheh,0,,
370,Pahang,Pantai Chendor,Pantai Chendor,0,0,0,,
371,Johor,Panti,Panti,Panti,Panti,0,,
372,Pahang,Papai,0,Papai,Papai,0,,
373,Pahang,Papai Tambahan,Papai Tambahan,0,Papai Tambahan,0,,Reserve name changed from Papai (Tambahan) to Papai Tambahan to match DeptForestry map
374,Perak,Papulut,Papulut,Papulut,Papulut,0,,
375,Perak,Parit,Parit,Parit,Parit,0,,
376,Pulau Pinang,Pasir Gebu,Pasir Gebu,0,0,0,,
377,Negeri Sembilan,Pasir Panjang (Negeri Sembilan),Pasir Panjang (Negeri Sembilan),Pasir Panjang (Negeri Sembilan),Pasir Panjang (Negeri Sembilan),0,Reserve name changed from Pasir Panjang (N. Sembilan) to Pasir Panjang (Negeri Sembilan),Reserve name changed from Pasir Panjang (N. Sembilan) to Pasir Panjang (Negeri Sembilan)
378,Pulau Pinang,Pasir Panjang (Penang),0,Pasir Panjang (Penang),Pasir Panjang (Penang),0,"Reserve name added ""Penang"" to differentiate from the Negeri Sembilan reserve","Reserve name added ""Penang"" to differentiate from the Negeri Sembilan reserve"
379,Terengganu,Pasir Raja Barat,0,Pasir Raja Barat,Pasir Raja Barat,0,,
380,Terengganu,Pasir Raja Selatan,0,Pasir Raja Selatan,Pasir Raja Selatan,0,,
381,Negeri Sembilan,Pasoh,Pasoh,Pasoh,Pasoh,0,,
382,Negeri Sembilan,Paya Bakau,Paya Bakau,Paya Bakau,0,0,,
383,Perak,Paya Bakau Beting Beras Basah Bagan Datuk Tambahan,Paya Bakau Beting Beras Basah Bagan Datuk Tambahan,0,0,0,,
384,Terengganu,Paya Gelam,Paya Gelam,Paya Gelam,0,0,Reserve name changed from Paya Gelam (Wetland) R Abg to Paya Gelam to match gazette,
385,Pahang,Paya Laut Kuantan,Paya Laut Kuantan,0,0,0,,
386,Melaka,Paya Laut Merlimau,0,Paya Laut Merlimau,0,0,,
387,Melaka,Paya Laut Merlimau Tambahan,Paya Laut Merlimau Tambahan,Paya Laut Merlimau Tambahan,0,0,Reserve name changed from Paya Laut Merlimau (Tambahan) to Paya Laut Merlimau Tambahan to match gazette,
388,Pahang,Paya Laut Sungai Soi,Paya Laut Sungai Soi,0,0,0,,
389,Terengganu,Paya Mengkuang,Paya Mengkuang,0,0,0,,
390,Pahang,Paya Pasir,0,Paya Pasir,Paya Pasir,0,,
391,Kedah,Pedu,0,Pedu,Pedu,0,,
392,Pahang,Pekan,0,Pekan,Pekan,0,,"Merged Pekan, Pekan Tambahan into Pekan to match DeptForestry map after checking locations"
393,Pahang,Pekan Tambahan,Pekan Tambahan,Pekan Tambahan,Pekan Tambahan,0,,Reserve name changed from Pekan (Tambahan) to Pekan Tambahan to match DeptForestry map
394,Terengganu,Pelagat,Pelagat,Pelagat,Pelagat,0,,
395,Negeri Sembilan,Pelangai,Pelangai,Pelangai,Pelangai,0,,
403,Negeri Sembilan,Pelangai,Pelangai,Pelangai,Pelangai,0,,
396,Johor,Pendas,Pendas,0,0,Pendas,,
397,Pahang,Peramu,0,Peramu,Peramu,0,,
398,Kelantan,Perias,Perias,Perias,Perias,0,,
399,Pahang,Persit,Persit,Persit,Persit,0,,
400,Negeri Sembilan,Petai,Petai,Petai,Petai,0,,
401,Terengganu,Petuang,Petuang,Petuang,Petuang,0,,
402,Perak,Piah,Piah,Piah,Piah,0,,
404,Johor,Pogoh Tambahan,Pogoh Tambahan,0,0,Pogoh Tambahan,,
405,Perak,Pondok Tanjung,Pondok Tanjung,Pondok Tanjung,Pondok Tanjung,0,,
406,Pahang,Pontian Paya Laut,0,Pontian Paya Laut,Pontian Paya Laut,0,,
407,Pahang,Pukin Tambahan,Pukin Tambahan,0,0,0,,
408,Negeri Sembilan,Pulau Arang,0,Pulau Arang,Pulau Arang,0,,
409,Pulau Pinang,Pulau Betong,Pulau Betong,0,0,0,,
410,Kedah,Pulau Bidan,Pulau Bidan,0,0,Pulau Bidan,,
411,Selangor,Pulau Che Mat Zin,0,Pulau Che Mat Zin,Pulau Che Mat Zin,0,,Reserve name changed from Pulau Cek Mat Zin to Pulau Che Mat Zin to match DeptForestry map
412,Selangor,Pulau Che Mat Zin Tambahan,Pulau Che Mat Zin Tambahan,Pulau Che Mat Zin Tambahan,Pulau Che Mat Zin Tambahan,0,,
413,Kedah,Pulau Dayang Bunting,0,Pulau Dayang Bunting,Pulau Dayang Bunting,0,,
414,Kedah,Pulau Dayang Bunting Tambahan,Pulau Dayang Bunting Tambahan,0,0,0,,
415,Perak,Pulau Gula,0,Pulau Gula,Pulau Gula,0,,
416,Pulau Pinang,Pulau Jerejak,Pulau Jerejak,Pulau Jerejak,0,0,,
417,Perak,Pulau Kalumpang,0,Pulau Kalumpang,Pulau Kalumpang,0,,
418,Perak,Pulau Kecil,0,Pulau Kecil,Pulau Kecil,0,,
419,Perlis,Pulau Ketam (Perlis),Pulau Ketam (Perlis),0,0,0,"Reserve name added ""Perlis"" to differentiate from the one in Selangor",
420,Selangor,Pulau Ketam (Selangor),Pulau Ketam (Selangor),Pulau Ketam (Selangor),Pulau Ketam (Selangor),0,"Reserve name added ""Selangor"" to differentiate from the one in Perlis",
421,Perlis,Pulau Ketam Tambahan,Pulau Ketam Tambahan,0,0,Pulau Ketam Tambahan,,
422,Selangor,Pulau Klang,0,Pulau Klang,Pulau Klang,0,,
423,Selangor,Pulau Klang Tambahan,Pulau Klang Tambahan,Pulau Klang Tambahan,Pulau Klang Tambahan,0,,
424,Kedah,Pulau Langgun,0,Pulau Langgun,Pulau Langgun,0,,
425,Perak,Pulau Pasir Hitam,0,Pulau Pasir Hitam,Pulau Pasir Hitam,0,,
426,Selangor,Pulau Pintu Gedong,0,Pulau Pintu Gedong,Pulau Pintu Gedong,0,,
427,Terengganu,Pulau Redang,Pulau Redang,Pulau Redang,Pulau Redang,0,,
